Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Nativeness,Abundance,NPS Tags,References,Observations,Vouchers,T&E,State Status,GRank,SRank
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017.0,Active,Lasiurus cinereus,Hoary Bat,,Accepted,No,Approved,Present,Native,Unknown,,19.0,,,SU,,G3G4,CA: S4
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991.0,Active,Myotis californicus,California Myotis,,Accepted,No,Approved,Present,Native,Common,Breeder,21.0,,,SC,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995.0,Active,Myotis evotis,Long-Eared Myotis,,Accepted,No,Approved,Probably Present,Native,,,18.0,,,SC,,G5,"CA: S3,SNR"
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988.0,Active,Myotis lucifugus,Little Brown Myotis,,Accepted,No,Approved,Probably Present,Native,,,21.0,,,UR,,G3G4,
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002.0,Active,Myotis thysanodes,Fringed Myotis,,Accepted,No,Approved,Probably Present,Native,,,18.0,,,SC,,G4,CA: S3
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990.0,Active,Myotis volans,Long-Legged Myotis,,Accepted,No,Approved,Present,Native,Unknown,,19.0,,,SC,,G4G5,CA: S3
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004.0,Active,Myotis yumanensis,Yuma Myotis,,Accepted,No,Approved,Present,Native,Unknown,,22.0,,,SC,,G5,CA: S4
REDW,Redwood National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921.0,Active,Didelphis virginiana,Virginia Opossum,Didelphis marsupialis,Accepted,No,Approved,Present,Non-native,Common,Breeder,16.0,,,,,G5,CA: SNA
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Soricidae,88654,179940.0,Active,Sorex bendirii,Marsh Shrew,,Accepted,No,Approved,Present,Native,Unknown,,15.0,,,,,G4,CA: SNR
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Soricidae,88668,179953.0,Active,Sorex pacificus,Pacific Shrew,,Accepted,No,Approved,Present,Native,Unknown,,24.0,,,,,G5,
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Soricidae,88127,179933.0,Active,Sorex palustris,"American Water Shrew, northern water shrew, Water Shrew",,Accepted,No,Approved,Probably Present,Native,,,1.0,,,,,G5,
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Soricidae,260633,552508.0,Active,Sorex sonomae,"Fog Shrew, Sonoma shrew",Sorex sonomae sonomae,Accepted,No,Approved,Present,Native,Unknown,,,,26.0,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Soricidae,88671,179956.0,Active,Sorex trowbridgii,Trowbridge Shrew,Sorex trowbridgei,Accepted,No,Approved,Present,Native,Unknown,,34.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Soricidae,88126,179932.0,Active,Sorex vagrans,Vagrant Shrew,,Accepted,No,Approved,Present,Native,Unknown,,28.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Talpidae,88692,179975.0,Active,Neurotrichus gibbsii,Shrew-Mole,,Accepted,No,Approved,Present,Native,Unknown,,28.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Talpidae,88699,179981.0,Active,Scapanus latimanus,Broad-Footed Mole,,Accepted,No,Approved,Probably Present,Native,,,4.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Talpidae,88700,179982.0,Active,Scapanus orarius,Coast Mole,,Accepted,No,Approved,Present,Native,Unknown,,22.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Eulipotyphla,Talpidae,88701,179983.0,Active,Scapanus townsendii,Townsend Mole,,Accepted,No,Approved,Present,Native,Unknown,,15.0,,1.0,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Lagomorpha,Leporidae,89641,180115.0,Active,Lepus californicus,Black-Tailed Hare,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,4.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Lagomorpha,Leporidae,89650,180123.0,Active,Sylvilagus bachmani,Brush Rabbit,,Accepted,No,Approved,Present,Native,Common,Breeder,32.0,,1.0,SC,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Aplodontiidae,89661,180133.0,Active,Aplodontia rufa,Mountain Beaver,,Accepted,No,Approved,Present,Native,Unknown,Breeder,25.0,,1.0,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Castoridae,90673,180212.0,Active,Castor canadensis,Beaver,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,28.0,,1.0,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,91747,180352.0,Active,Arborimus albipes,White-Footed Vole,,Accepted,No,Approved,Present,Native,Unknown,Breeder,28.0,,,SC,CA: SSC,G3G4,CA: S2
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,91748,180353.0,Active,Arborimus longicaudus,Red Tree Vole (Sonoma),Arborimus pomo,Accepted,No,Approved,Present,Native,Unknown,Breeder,40.0,,,,,G2G3,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,90764,180295.0,Active,Clethrionomys californicus,Western Red-Backed Vole,Clethrionomys occidentalis,Accepted,No,Approved,Probably Present,Native,,,23.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,91695,180305.0,Active,Microtus californicus,California Vole,,Accepted,No,Approved,Present,Native,Common,Breeder,30.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,90768,180299.0,Active,Microtus longicaudus,Long-Tailed Vole,,Accepted,No,Approved,Probably Present,Native,,,15.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,91704,180313.0,Active,Microtus oregoni,Creeping Vole,,Accepted,No,Approved,Present,Native,Unknown,Breeder,13.0,,3.0,,,G5,CA: SNR
